Diagnosis,Section,Section_Hint,Esophagus,GE Junction,Stomach,Duodenum,,,,,Default_Sub_Location,Subsection,Subsection_Hint,Conditional_on,Multi_Attribute,Default_Attr,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
Stricture,Prestenotic dilation,,x,,,x,x,,x,x,,,,,,,Yes,No,Size alphanum_box,Description alphanum_box,,,,,,,,
Stricture,Cause,,x,,,x,x,,x,x,,Type,,,,,postoperative,radiation,NSAID,anastomotic,unknown,peptic/GERD-related,malignant (tumor),,,,,
Stricture,Cause,,x,,,x,x,,x,x,,Qualifier,,,,,suspected,established,,,,,,,,,,
Stricture,Surface/mucosal changes at the stenosis,,x,,,x,x,,x,x,,,,,,,ulceration,scarring,fibrosis,erythema,friable,bleeding stigmata,,,,,,
Stricture,Distance from incisors,,x,,,x,x,,x,x,,,,,,,int_box mm from alphanum_box,,,,,,,,,,,
Stricture,Biopsy Taken,,x,,,x,x,,x,x,,,,,,,Yes,No,,,,,,,,,,
Stricture,Procedure Intervention,,x,,,x,x,,x,x,,Type,,,x,,Balloon,Savary-Gilliard,stent placed,,,,,,,,,
Stricture,Procedure Intervention,,x,,,x,x,,x,x,,Balloon Min to Max,,Subsection(Type=Balloon),,,int_box mm to int_box mm,,,,,,,,,,,
Stricture,Procedure Intervention,,x,,,x,x,,x,x,,Savary-Gilliard Min to Max,,Subsection(Type=Savary-Gilliard),,,int_box mm to int_box mm,,,,,,,,,,,
Stricture,Procedure Intervention,,x,,,x,x,,x,x,,Result,,,,,Success,Partial,Failure,,,,,,,,,
Submucosal Lesions / Gastric Subepithelial Lesions,Size,,x,,x,x,,,,,,,,,,,<5 mm,5–10 mm,11–20 mm,21–30 mm,>30 mm,,,,,,,
Submucosal Lesions / Gastric Subepithelial Lesions,Shape / Contour,,x,,x,x,,,,,,,,,x,,Smooth dome-shaped bulge,Sessile mound,Flat elevation,Lobulated mass,Irregular mound,Exophytic impression,,,,,,
Submucosal Lesions / Gastric Subepithelial Lesions,Surface Mucosa,,x,,x,x,,,,,,,,,x,,Normal intact mucosa,Pale,Erythematous,Central umbilication,Central dimple,Erosion,Ulceration,,,,,
Submucosal Lesions / Gastric Subepithelial Lesions,Mobility / Consistency,,x,,x,x,,,,,,,,,x,,Pillow sign positive,Rolling sign positive,Firm/fixed,Hard,Compressible,Non-compressible,,,,,,
Submucosal Lesions / Gastric Subepithelial Lesions,Likely Etiology,Gastric_SEL_Diff_Table_900x600.png,x,,x,x,,,,,,,,,x,,Lipoma,GIST,Leiomyoma,NET,Aberrant Pancreas,Cyst,Varix,Granular cell,Duplication cyst–like,,,
Submucosal Lesions / Gastric Subepithelial Lesions,Likely Etiology,,,,,,,,,,,Aberrant Pancreas,,Section(Likely Etiology=Aberrant Pancreas),,,Pancreatic Rest,Ectopic Pancreas,Pancreatic Crest,,,,,,,,,
Submucosal Lesions / Gastric Subepithelial Lesions,Biopsy,,x,,x,x,,,,,,Taken,,,,,Yes,No,,,,,,,,,,
Submucosal Lesions / Gastric Subepithelial Lesions,Biopsy,,x,,x,x,,,,,,Count,,Subsection(Taken=Yes),,,int_box,,,,,,,,,,,
Suspected Barrett's esophagus,Biopsy Taken,Barrett_Seattle_Biopsy_850x800.png,x,,,,,,,,Lower,,,,,,Yes,No,Number of biopsies: int_box,,,,,,,,,
Suspected Barrett's esophagus,Texture,,x,,,,,,,,Lower,,,,,,Velvety,Granular,Irregular surface pattern,,,,,,,,,
Suspected Barrett's esophagus,Salmon Color Mucosa,,x,,,,,,,,Lower,,,,,Yes,Yes,No,,,,,,,,,,
Suspected Barrett's esophagus,Tongue like projection,,x,,,,,,,,Lower,,,,,Yes,Yes,No,,,,,,,,,,
Suspected Barrett's esophagus,Surface Architecture,,x,,,,,,,,Lower,,,,,,Disrupted glandular pattern,Elevated Lesion,Depressed Lesions,,,,,,,,,
Suspected Barrett's esophagus,Inflammation signs,,x,,,,,,,,Lower,,,,,,Erythema,Edema,Erosions,,,,,,,,,
Suspected Barrett's esophagus,Prague Classification,,x,,,,,,,,Lower,Circumferential Extent,,,,,"Range(0,10)",>10,,,,,,,,,,
Suspected Barrett's esophagus,Prague Classification,,x,,,,,,,,Lower,Maximum Extent,,,,,"Range(0,10)",>10,,,,,,,,,,
Suspected Barrett's esophagus,Prague Classification,,x,,,,,,,,Lower,GE Junction,,,,,int_box cm from incisors,,,,,,,,,,,
Suspected Barrett's esophagus,Mucosal patterns,,x,,,,,,,,Lower,WL,,,,,Ridging,Nodularity,Pit pattern irregularity,,,,,,,,,
Suspected Barrett's esophagus,Mucosal patterns,,x,,,,,,,,Lower,NBI,,,,,Dysplastic,Non-dysplastic,,,,,,,,,,
Suspected Barrett's esophagus,Vascular patterns,,x,,,,,,,,Lower,WL,,,,,Dysplastic,Non-dysplastic,,,,,,,,,,
Suspected Barrett's esophagus,Vascular patterns,,x,,,,,,,,Lower,NBI,,,,,Dysplastic,Non-dysplastic,,,,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Esophageal Dilatation,,x,,,,,,,,,,,,,,Yes,No,Mild,Moderate,Severe,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Lumen Contents,,x,x,,,,,,,,,,,,,Clear,Frothy secretions,Retained fluid,Food particles (small amount),Food particles (large amount),,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Clearance After Suction/Lavage,,x,x,,,,,,,,,,,,,Complete,Partial,Poor / Persistent residue,,,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Esophageal Course,,x,x,,,,,,,,,,,,,Straight,Mildly tortuous,Sigmoid / markedly tortuous,,,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Air Insufflation Response,,x,x,,,,,,,,,,,,,Normal expansion,Poor expansion,No antegrade emptying,,,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Peristalsis,,x,x,,,,,,,,,,,,,Absent,Normal,Weak / sluggish,,,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Tertiary Contraction,,x,x,,,,,,,,,,,,,None,Present - Mild,Present – prominent / corkscrew,,,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Mucosa Appearance,,x,x,,,,,,,,,,,,,Normal,Erythematous,Edematous,Friable,Pale,Atrophic,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Pseudomembranes or Adherent Debris,,x,x,,,,,,,,,,,,,Absent,Present,,,,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Contact Bleeding,,x,x,,,,,,,,,,,,,Absent,Present,,,,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Pop Sensation on Scope Passage,,x,x,,,,,,,,,,,,,Absent,Present,,,,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,GEJ Appearance,,x,x,,,,,,,,,,,,,Normal,Puckered,Bird-beak / pinhole,Smooth mucosa,Irregular / ulcerated / nodular,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Stasis Esophagitis,,x,x,,,,,,,,,,,,,Absent,Erythema,Friability,Linear erosions,,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,Candida,,x,x,,,,,,,,,,,,,Yes,No,,,,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,GEJ passing Resistance,,x,x,,,,,,,,,,,,,Yes,No,Mild,Moderate,Severe,,,,,,,
Suspected Esophageal Motility Disorder/Achalasia,LES Resistance,,x,x,,,,,,,,,,,,,Yes,No,Mild,Moderate,Severe,,,,,,,
Tumor / Mass,Morphology,,x,x,x,x,,,,,,,,,x,,Polypoid,Sessile,Ulcerated,Fungating,Linitis-like,Exophytic,Circumferential,,,,,
Tumor / Mass,Surface Features,,x,x,x,x,,,,,,,,,x,,Ulceration,Nodularity,Necrotic debris,Friability,Contact bleeding,Spontaneous bleeding,Irregular surface,Visible vessel,Fibrotic,,,
Tumor / Mass,Size,,x,x,x,x,,,,,,,,,,,<1 cm,1–2 cm,2–5 cm,>5 cm,float_box cm,,,,,,,
Tumor / Mass,Size,,x,x,x,x,,,,,,Obstructing,,,,,Near-obstructing,Obstructing,,,,,,,,,,
Tumor / Mass,Margins,,x,x,x,x,,,,,,,,,x,,Well-defined,Ill-defined,Infiltrative spread,Raised edge,Rolled edge,Flat/indistinct,,,,,,
Tumor / Mass,Associated Findings,,x,x,x,x,,,,,,,,,x,,Stigmata of recent bleeding,Engorged vessels,Ulcers adjacent,Mass effect / deformity,Luminal narrowing,Retained food/fluid,,,,,,
Tumor / Mass,Intervention,,x,x,x,x,,,,,,Biopsy,,,,,Targeted biopsy,None,,,,,,,,,,
Tumor / Mass,Intervention,,x,x,x,x,,,,,,Post-biopsy,,Subsection(Biopsy=Targeted biopsy),,,No immediate bleeding,Minor oozing,Bleeding controlled,Perforation suspected,,,,,,,,
Tumor / Mass,Intervention,,x,x,x,x,,,,,,Tattooing,,,,,Yes,No,,,,,,,,,,
Xanthoma,Appearance,"Reference Image:
Xanthoma_630x539.png
Xanthoma associated with Gastric Cancer
Xanthoma_Gastric_Cancer_800x450.png",x,,x,,,,,,,,,,,,Yellow or yellow-white plaque,"Discrete, well-defined",Flat or slightly elevated,Smooth surface,,,,,,,,
Xanthoma,Number,,x,,x,,,,,,,,,,,,Single,Multiple,,,,,,,,,,
Xanthoma,Biopsy,,x,,x,,,,,,,,,,,,Not required (typical appearance),Biopsy taken (if atypical / diagnostic uncertainty),,,,,,,,,,
